Wikipedia+Wikibooks 	En Wikiliwrus (Wikiliwrus) hay uno que es el que más se mueve.	Wikiliwrukunapi Kamachiq nisqaqa huk ruraqkunamanta aswan hayñiyuq ruraqmi.
Wikipedia+Wikibooks 	No traigamos a Wikiliwrus las sábanas manchadas con copyrights.	Ama copyright nisqawan sananchasqa p'anqakunatachu copy - paste nisqawan kay Wikiliwrukunapi p'anqakunaman apamusunchikchu.
Wikipedia+Wikibooks 	(UTC) Supérense en la página 15:02 18 oct de 2007.--Konon6917 14:36 20 oc de 2007 (UTC) Los presidentes de las Wikiliwrurun les envían sus saludos.	AlimanRuna 15:02 18 oct 2007 (UTC) Support.--Kanon6917 14:36 20 oct 2007 (UTC) Kay Wikiliwrukunapi kamachiqkuna Allin hamusqaykichik Wikiliwrukunapi.
Wikipedia+Wikibooks 	Mi defensa, mi defensa, mi defensa, mi defensa, contra los que hacen iniquidad,	P'anqakunataqa amachaytam, qulluytam, champaytam, ruraqkunata hark'aytam, hukkunatapas atin.
Wikipedia+Wikibooks 	Wikiliwrus: Ayudante.	Wikiliwrukuna:Yanapana
Wikipedia+Wikibooks 	(Vea el recuadro “¿Qué significa? ”, de la revista ¡Despertad! 15:09 18 de octubre de 2007)	Ratullakama masiykuna. -- AlimanRuna 15:09 18 oct 2007 (UTC) Kaypi qhaway: Wikiliwrukuna:Kamachiq#Wikiliwrukunapi mañakusqa kamachiq kaykuna AlimanRuna 15:09 18 oct 2007 (UTC) The call for applications for Wikimania Scholarships to attend Wikimania 2010 in Gdansk, Poland (July 9-11) is now open.
Wikipedia+Wikibooks 	Esto es lo que he de hacer: no heriremos la llaga de un malvado en su propio error.	Kaymi huk qispi ruraykamaykuna: Ama huk ruraqkunap rurasqanmanta hayñinta, ruraqpa hayñin nisqata k'irisunchikchu.
Wikipedia+Wikibooks 	Estoy pidiendo una cosa.	Kamachiq kayniytam mañakuchkani.
Wikipedia+Wikibooks 	31 de junio de 1949.	31 ñiqin qhapaq raymi killapi 949 watapi puchukarqan.
Wikipedia+Wikibooks 	Cabeza de Su pueblo.	Uma llaqtanqa Hiwya llaqtam.
Wikipedia+Wikibooks 	En la fe del Budismu del Tibet, un tal Dalai Antaymarka (capítulo: ⁇  de Andaymarca) , un funcionario de la comunidad materna, el Padre de ⁇ , en el interior del país.	Tibetmanta Budismu iñiypi, huk Dalai Antaymarka distritu nisqaqa (kastilla simipi: Distrito de Andaymarca ) , Piruw mama llaqtapi huk distritum, Tayaqaqa pruwinsyapi, Wankawillka suyupi.
