Wikipedia 	930: Hucbaldo, monje y ⁇  de la zona de ⁇  (artículo 840).	930: Hucbaldo, monje ha atõi ojapóva Hyãsia pegua (ary reñói 840).
Wikipedia 	Cuando se iba acercando el tiempo de su purificación, le habló por medio de una parábola, y dijo:	Upéi, are rire, okakuaapávo, Rubén imandu'a umíva umi kásore ha oñemomandu'ávo ijarýire ha'e oñepyrũ umi ñemombe'u ha upekuévo oha'ã ijarýi ñe'ẽ reko.
Wikipedia 	1920: Paul Frees, la viuda de ⁇  (la muerte en 1986)	1920: Paul Frees, mba'eapohára de voz Tetãvore Joapykuéra pegua (ñemano ary 1986).
Wikipedia 	1951: Chris Frantz, baterista de la Patria, de la banda Talking Heads.	1951: Chris Frantz, baterista Tetã peteĩ reko Amérikagua pegua, de la banda Talking Heads.
Wikipedia 	1952: Adolf Busch, violinista de la diáspora.	1952: Adolf Busch, violinista Alemáña pegua.
Wikipedia 	1986: Seth Rollins, de la tribu de Galacia.	1986: Seth Rollins, luchador Tetãvore Joapykuéra pegua.
Wikipedia 	El "nuevo arroyo".	Pe "riko pyahu".
Wikipedia 	El sitio web oficial de Wikimedia Commons tiene la imagen de Aarau en su totalidad.	Sitio web oficial (alemañañe'ẽ) Wikimedia Commons oguereko ta'ãnga Aarau reheguaCommons.
Wikipedia 	El agua trae salud.	Y ogueru y'akãgui.
Wikipedia 	1969: Assala Nasri, cantaba siria.	1969: Assala Nasri, opurahéiva siria.
Wikipedia 	Cuando se le cambia el nombre a una entidad y el trabajo no le viene bien a la honestidad se le quita.	Omboguapy jave héra peteĩ mba'ehaíre ha upe tembiapo noiporãirõ pe tekopotĩ ogue'imi ichugui.
Wikipedia 	Cuando estaba por llegar al Perú, un sacerdote le rogó: -Perú, ven a tu encuentro con nosotros, ocúpate en Perú y siéntate, mira y ve que hay tres migajas de carne.	Hi'ag̃uimavo Peru oñemondo'o chupe peteĩ pa'i: - Peru, ejúpy jakaru orendive, oja Peru ha oguapýmavoi, ojesareko ha ohecha mbohapymínte oĩ so'o ka'ẽ.
Wikipedia 	El Fuerte Olimpo se ubica en medio de dos cerros, uno queda en Fuerte Bordón y el otro en la Catedral de María Auxiliadora.	Fuerte Olimpo oĩ mokõi yvyty karape mbytépe, peteĩme opyta Fuerte Bordón ha ambuépe katu Catedral de María Auxiliadora.
